date,asset,level,entry_time,entry_price,direction,expiry_seconds,exit_time,exit_price,price_delta,outcome,net_pl,payout_pct,oteo_score,confidence,base_oteo_score,base_confidence,level2_score_adjustment,level2_suppressed_reason,level3_score_adjustment,level3_suppressed_reason,market_ready,adx_regime,trend_direction,cci_state,tick_health,regime_label,regime_confidence,regime_stable,regime_prior,regime_persistence,source_session,original_expiration_seconds,original_outcome,original_exit_time,original_exit_price,strategy_level,trade_id
2026-05-14,NGNUSD_otc,GHOST_REPRICE,1778801952.925,0.00074272,PUT,15,1778801967.983,0.00074282,1e-07,loss,-1.0,92.0,81.6,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,win,1778802013.671,0.00074265,level3,ghost-d41ee2dbe91f
2026-05-14,NGNUSD_otc,GHOST_REPRICE,1778801952.925,0.00074272,PUT,30,1778801983.058,0.00074308,3.6e-07,loss,-1.0,92.0,81.6,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,win,1778802013.671,0.00074265,level3,ghost-d41ee2dbe91f
2026-05-14,NGNUSD_otc,GHOST_REPRICE,1778801952.925,0.00074272,PUT,60,1778802013.17,0.00074265,-7e-08,win,0.92,92.0,81.6,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,win,1778802013.671,0.00074265,level3,ghost-d41ee2dbe91f
2026-05-14,ZARUSD_otc,GHOST_REPRICE,1778801971.017,0.061766,CALL,15,1778801986.06,0.061756,-1e-05,loss,-1.0,92.0,81.6,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,loss,1778802031.7,0.061729,level3,ghost-ef0f52c54c18
2026-05-14,ZARUSD_otc,GHOST_REPRICE,1778801971.017,0.061766,CALL,30,1778802001.134,0.061747,-1.9e-05,loss,-1.0,92.0,81.6,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,loss,1778802031.7,0.061729,level3,ghost-ef0f52c54c18
2026-05-14,ZARUSD_otc,GHOST_REPRICE,1778801971.017,0.061766,CALL,60,1778802031.199,0.061729,-3.7e-05,loss,-1.0,92.0,81.6,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,loss,1778802031.7,0.061729,level3,ghost-ef0f52c54c18
2026-05-14,AUDNZD_otc,GHOST_REPRICE,1778802023.676,1.26538,CALL,15,1778802038.745,1.26595,0.00057,win,0.92,92.0,85.5,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,win,1778802084.339,1.26729,level3,ghost-23e1b506a964
2026-05-14,AUDNZD_otc,GHOST_REPRICE,1778802023.676,1.26538,CALL,30,1778802053.772,1.26659,0.00121,win,0.92,92.0,85.5,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,win,1778802084.339,1.26729,level3,ghost-23e1b506a964
2026-05-14,AUDNZD_otc,GHOST_REPRICE,1778802023.676,1.26538,CALL,60,1778802083.838,1.26699,0.00161,win,0.92,92.0,85.5,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,win,1778802084.339,1.26729,level3,ghost-23e1b506a964
2026-05-14,NGNUSD_otc,GHOST_REPRICE,1778802082.829,0.00074186,CALL,15,1778802097.902,0.0007423,4.4e-07,win,0.92,92.0,81.6,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,win,1778802143.512,0.00074265,level3,ghost-4643adb6f415
2026-05-14,NGNUSD_otc,GHOST_REPRICE,1778802082.829,0.00074186,CALL,30,1778802112.931,0.00074268,8.2e-07,win,0.92,92.0,81.6,MEDIUM,,,,,,,,,,,,,,,,,auto_ghost_1778794718,60,win,1778802143.512,0.00074265,level3,ghost-4643adb6f415
